Address,latitude,longitude
"Laxmi Nagar, New Delhi - East, Delhi NCR",28.68641663,77.29958344
"Golf Course Road, Gurgaon, Golf Course Road, Gurgaon, Delhi NCR",28.441368,77.098124
"Sector 75, Noida, Sector 75, Noida, Delhi NCR",28.5750243,77.3803
"Sector 70 Gurgaon, Sector 70, Gurgaon, Delhi NCR",28.3930662,77.022442
"janki puri, Uttam Nagar, New Delhi - West, Delhi NCR",28.6212883,77.05307007
"sanskriti Vihar GC 16, C-16, Greater Noida, Delhi NCR",28.453581,77.556221
"Gaur Green City 2, Avenue 16, Noida Extension Block D, Noida, Delhi NCR",28.619028,77.425972
"palam Village Delhi, Palam, New Delhi - Dwarka, Delhi NCR",28.63475037,77.0491333
"Sector 37D, Gurgaon, Delhi NCR",28.4460523,76.9772858
"Sector 76, Noida, Delhi NCR",28.5684777,77.3775
"Sector 15 Dwarka, New Delhi - Dwarka, Delhi NCR",28.615032,77.0290715
"1162., Sector 57, Gurgaon, Delhi NCR",28.4215541,77.0780609
"Sector 56, Gurgaon, Delhi NCR",28.42443657,77.0982132
"Vasundhara sector 5 ghaziabad, Vasundhara, Ghaziabad, Delhi NCR",28.64231873,77.4211731
"Shalimar garden Ghaziabad, Shalimar garden, Ghaziabad, Delhi NCR",28.63578224,77.43241882
"naer bluebells school, Sector 4, Gurgaon, Delhi NCR",28.47489357,77.00980377
"Indirapuram, Ghaziabad, Delhi NCR",28.6493479,77.3696259
"Sector 68, Gurgaon, Sector 68, Gurgaon, Delhi NCR",28.386791,77.049466
"201 Whitney homes sector 121 noida, Sector 121, Noida, Delhi NCR",28.60042,77.44546509
"Alistonia Estate, Greater Noida, Delhi NCR",28.43831635,77.51483154
"Zeta 2, Greater Noida, Delhi NCR",28.517742,77.529334
"FirstTower at Gate2T18 Flat Floor-No06-02, Type C, Unit Type 3BHK Servent 3T UT., Sector 137, Noida, Delhi NCR",28.58907509,77.32030487
"Avantika Extension, Ghaziabad, Delhi NCR",28.6738471,77.4829531
"Antriksh Golf view 1Sector 78Noida, Sector 78, Noida, Delhi NCR",28.5575028,77.38646497
"Sector 76, Gurgaon, Sector 76, Gurgaon, Delhi NCR",28.39343,76.99731
"Sector 47 Sohna Road, Sector 47, Gurgaon, Delhi NCR",28.425657,77.04300339
"plot number 2261 Adarsh Nagar gurgaon, Adarsh Nagar, Gurgaon, Delhi NCR",28.49742317,77.02734375
"Eldeco Golf View Apartments, Sector Omega 1, Greater Noida, Uttar Pradesh, Omega 1, Greater Noida, Delhi NCR",28.4570313,77.514304
"Sector 119, Noida, Sector 119, Noida, Delhi NCR",28.588371,77.400313
"A5 Kewal Park Extension Delhi India, Kewal Park, New Delhi - North, Delhi NCR",28.68641853,77.29956055
"c113 3rd floor Shakti nagar extension ashok vihar phase 3 Delhi 110052, Ashok Vihar Phase 3, New Delhi - North, Delhi NCR",28.68220329,77.18806458
"Sadullapur, Near Bloom International School, Greater Noida West, Sadullapur, Greater Noida, Delhi NCR",28.591666,77.484749
"Indirapuram Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",28.641756,77.37885936
"Dwarka Sector 23, New Delhi, Sector 23 Dwarka, New Delhi - Dwarka, Delhi NCR",28.56213384,77.05678938
"Sector 46, Noida, Delhi NCR",28.55075433,77.36168745
"Gyan Khand 1, Ghaziabad, Delhi NCR",28.641779,77.3502969
"ireo uptown Sector 66 gurgaon, Sector 66, Gurgaon, Delhi NCR",28.39522652,77.05988662
"Plot no- 77 Sector 13 Dwarka, Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",28.5994675,77.0349205
"K tower, Sector 45, Noida, Delhi NCR",28.548787,77.346032
"Sector 30, Gurgaon, Jal Vayu Vihar, Gurgaon, Delhi NCR",28.45847235,77.05255654
"Shalimar Garden Extension 1, Ghaziabad, Delhi NCR",28.63367653,77.43097687
"D Block Jawahar Park KhanpurNew Delhi, Jawahar Park, New Delhi - South, Delhi NCR",28.52319527,77.21430969
"Kaushambi, Ghaziabad, Kaushambi, Ghaziabad, Delhi NCR",28.63544909,77.32381434
"Omicron 1, Greater Noida, Delhi NCR",28.46267033,77.55830252
"Sector 107, Gurgaon, Delhi NCR",28.514908,76.974388
"Tech Zone IV Gautam Budh NagarGreater Noida (West), Greater Noida West, Greater Noida, Delhi NCR",28.605958,77.444512
"House No 47 Block E  Floor 1 Sec 11 Faridabad, Sector 11, Faridabad, Delhi NCR",28.34699821,77.32400513
"Sector 1, Greater Noida, Delhi NCR",28.5661101,77.4406099
"2931., Sushant Lok 1 Block C, Gurgaon, Delhi NCR",28.454517,77.081868
"T1 - 401., Sector 37D, Gurgaon, Delhi NCR",28.45251307,76.97627035
"Noida Extension, Greater Noida, Noida Extension, Greater Noida, Delhi NCR",28.617567,77.426765
"Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",28.5962,77.067013
"Sector 107, Gurgaon, Dwarka-Manesar Expressway, Gurgaon, Delhi NCR",28.51348116,76.971479
"C4A/9A Janak Puri New Delhi 110058, Janakpuri, New Delhi - West, Delhi NCR",28.621054,77.0905294
"Sector 88, Faridabad, Delhi NCR",28.41891989,77.35557595
"c-1/41 a, Budh Vihar Phase 1, New Delhi - Rohini, Delhi NCR",28.63664055,77.12469482
"Indirapuram, Ghaziabad, Uttar Pradesh, Gyan Khand 3, Ghaziabad, Delhi NCR",28.645341,77.35492932
"Vasundhara Enclave, New Delhi - East, Delhi NCR",28.60052361,77.31160783
"Pocket 4 Akash Ganga Appartment  Sector 24, Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",28.72650572,77.08336654
"Sector 76, Noida, Delhi NCR",28.56854169,77.37929993
"aditya world city NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",28.683082,77.50921
"Block E, Sector 85, Faridabad, Sector 85, Faridabad, Delhi NCR",28.4042306,77.3559561
"R025d101203/flat #1203., Greater Noida West, Noida, Delhi NCR",28.605958,77.444512
"N Block Greater Kailash 1, GK I, New Delhi - South, Delhi NCR",28.52293205,77.21456909
"Sector 119, Noida, Sector 119, Noida, Delhi NCR",28.58986171,77.40343376
"Ranjeet Nagar, New Delhi - West, Delhi NCR",28.634758,77.04909515
"E-1005, Prateek Laurel, sector-120, Sector 120, Noida, Delhi NCR",28.58731051,77.39590178
"Sector 62Noida stellar park apartments, C Block, Noida, Delhi NCR",28.61413193,77.36986542
"TH - 63, Jaypee Wishtown, Jaypee Greens, Sector - 128, Noida, Sector 128, Noida, Delhi NCR",28.526555,77.363882
"Greater Noida West, Greater Noida West, Greater Noida, Delhi NCR",28.579593,77.445197
"C 409 B  Sushant Lok Phase 1  Gurgaon, Sushant Lok 1 Block C, Gurgaon, Delhi NCR",28.34468651,77.32616425
"Sector 168, Noida, Sector 168, Noida, Delhi NCR",28.493247,77.408015
"Gaur Yamuna City 16th Park View, Taj Expressway, Noida, Delhi NCR",28.43244553,77.50791931
"Sector 85, Gurgaon, Sector 85, Gurgaon, Delhi NCR",28.409389,76.951659
"D-7/23 Sector 15 Rohini, Sector 15 Rohini, New Delhi - Rohini, Delhi NCR",28.63474083,77.04914856
"Sector 137, Noida, Sector 137, Noida, Delhi NCR",28.509118,77.413416
"Sector 5, Vasundhara, Ghaziabad, Uttar Pradesh., Sector 5 Vasundhara, Ghaziabad, Delhi NCR",28.660121,77.379704
"Sector C Vasant Kunj, New Delhi - South, Delhi NCR",28.53547478,77.14489746
"H block dlf phase 1 Gurugram, DLF City Phase 1, Gurgaon, Delhi NCR",28.49748039,77.02710724
"Sector 76, Noida, Sector 76, Noida, Delhi NCR",28.575883,77.38535896
"Gurgaon, Sector 105, Gurgaon, Delhi NCR",28.4975071,77.02711487
"Sector 79, Gurgaon, Delhi NCR",28.35895365,76.971587
"Sector 107, Noida, Delhi NCR",28.54291259,77.37203149
"G T Road, Ghaziabad, Delhi NCR",28.6761798,77.39628201
"Sector 2 Rajendra Nagar, Ghaziabad, Delhi NCR",28.687614,77.351924
"Sector 137, Noida, Delhi NCR",28.508273,77.40897616
"Vasundhara Enclave, New Delhi - East, Delhi NCR",28.60172462,77.31781006
"Nehru Nagar Ghaziabad, Nehru Nagar, Ghaziabad, Delhi NCR",28.63609123,77.43346405
"Flat B-1201, BPTP Princess Park, Sector 86, Neherpar, Faridabad, Faridabad, Sector 86, Faridabad, Delhi NCR",28.40652341,77.34299342
"Sector 63A, Gurgaon, Delhi NCR",28.397099,77.086716
"Sector 43, Gurgaon, Delhi NCR",28.45518494,77.08667755
"Alpha 1, Greater Noida, Uttar Pradesh",28.47346783,77.5053686
"Hari Nagar Ashram New Delhi, Hari Nagar Ashram, New Delhi - South, Delhi NCR",28.49679565,77.22851563
"Sector 51, Gurgaon, Delhi NCR",28.4287815,77.0661409
